,timestamp,GPU 0
0,1761668028.7905784,291.583
1,1761668043.7914925,347.573
2,1761668058.7906933,341.513
3,1761668073.7912955,343.248
4,1761668088.7912543,329.003
5,1761668103.7907922,372.995
6,1761668118.79183,341.497
7,1761668133.7907612,382.408
8,1761668148.7912576,393.45
9,1761668163.7915406,344.037
10,1761668178.7909684,550.387
11,1761668193.7906203,329.51
12,1761668208.7910736,482.066
13,1761668223.791058,631.612
14,1761668238.7911692,509.36
15,1761668253.7909846,543.975
16,1761668268.790821,321.174
17,1761668283.7907329,508.61
18,1761668298.7906342,534.871
19,1761668313.7912652,602.152
20,1761668328.7918634,349.704
21,1761668343.7915668,376.722
22,1761668358.791036,614.576
23,1761668373.7904322,510.019
24,1761668388.7915483,505.433
25,1761668403.7915263,348.469
26,1761668418.7906787,348.997
27,1761668433.7913983,566.5
28,1761668448.7911909,492.436
29,1761668463.791295,580.47
30,1761668478.7910872,337.256
31,1761668493.7911928,584.292
32,1761668508.7908883,553.326
33,1761668523.7909412,576.533
34,1761668538.790763,586.699
35,1761668553.790392,339.36
36,1761668568.7911396,502.786
37,1761668583.790506,493.622
38,1761668598.790785,547.138
39,1761668613.7912185,503.004
40,1761668628.790577,337.538
41,1761668643.7914069,551.487
42,1761668658.7917173,594.234
43,1761668673.7908113,583.848
44,1761668688.7911396,504.102
45,1761668703.7910535,374.502
46,1761668718.7912688,584.799
47,1761668733.7909029,570.566
48,1761668748.7913659,578.666
49,1761668763.7912958,576.453
50,1761668778.790263,372.074
51,1761668793.7915833,548.516
52,1761668808.7913225,569.726
53,1761668823.7908263,547.608
54,1761668838.7912488,528.055
55,1761668853.7909095,335.315
56,1761668868.790751,474.799
57,1761668883.7916,525.505
58,1761668898.790765,508.584
59,1761668913.791292,513.42
60,1761668928.7908635,335.042
61,1761668943.7915168,191.068
62,1761668958.7931452,190.506
63,1761668973.7912529,189.976
64,1761668988.791421,189.895
65,1761669003.791374,189.914
66,1761669018.7910824,189.623
67,1761669033.7911475,796.836
68,1761669048.790372,793.714
69,1761669063.791237,809.997
70,1761669078.7905784,812.848
71,1761669093.7908711,809.394
72,1761669108.7910495,812.467
73,1761669123.7908394,804.836
74,1761669138.7910414,822.133
75,1761669153.7908998,193.371
76,1761669168.7913136,191.524
77,1761669183.7907298,190.654
78,1761669198.7910495,826.769
79,1761669213.7906735,190.863
80,1761669228.79079,190.338
81,1761669243.7907276,190.05
82,1761669258.7912254,790.471
83,1761669273.7908576,789.288
84,1761669288.7906485,790.468
85,1761669303.7903976,789.335
86,1761669318.7911854,800.397
87,1761669333.7907276,826.715
88,1761669348.7908533,794.436
89,1761669363.7912152,799.597
90,1761669378.791069,191.721
91,1761669393.7911787,189.197
92,1761669408.7906651,188.208
93,1761669423.791044,837.964
94,1761669438.790679,188.279
95,1761669453.790885,187.774
96,1761669468.7907932,187.548
97,1761669483.7903428,794.99
98,1761669498.7904563,801.51
99,1761669513.7907565,764.274
100,1761669528.7903957,811.238
101,1761669543.7910342,798.583
102,1761669558.7907748,798.88
103,1761669573.7911906,814.687
104,1761669588.7916203,798.312
105,1761669603.791081,191.885
106,1761669618.7908027,189.158
107,1761669633.790447,188.132
108,1761669648.7910569,822.805
109,1761669663.7912178,188.2
110,1761669678.7906713,187.729
111,1761669693.790312,187.43
112,1761669708.7908492,810.145
113,1761669723.7905207,791.734
114,1761669738.7912152,799.446
115,1761669753.7910297,806.592
116,1761669768.7914236,791.877
117,1761669783.791042,801.18
118,1761669798.7910793,791.913
119,1761669813.7909615,801.729
120,1761669828.7902987,192.676
121,1761669843.7905395,189.395
122,1761669858.7909946,188.212
123,1761669873.790745,837.362
124,1761669888.791142,188.373
125,1761669903.7903948,188.034
126,1761669918.791319,187.448
127,1761669933.791176,813.539
128,1761669948.7906284,820.434
129,1761669963.7908974,794.787
130,1761669978.7905576,798.353
131,1761669993.7905967,817.114
132,1761670008.7907941,794.335
133,1761670023.7903996,797.701
134,1761670038.7909887,807.127
135,1761670053.7912474,193.924
136,1761670068.7912784,189.434
137,1761670083.791163,188.22
138,1761670098.7907543,189.647
139,1761670113.7911808,188.488
140,1761670128.7911806,188.298
141,1761670143.7908504,187.536
142,1761670158.7906003,806.606
143,1761670173.7912188,812.412
144,1761670188.791091,793.243
145,1761670203.79112,807.634
146,1761670218.7909534,791.501
147,1761670233.7907238,809.1
148,1761670248.791068,814.05
149,1761670263.7911055,792.406
150,1761670278.790581,194.771
151,1761670293.7907848,189.513
152,1761670308.7912738,188.343
153,1761670323.7909088,187.731
154,1761670338.790502,188.605
155,1761670353.791359,188.001
156,1761670368.7908716,187.494
157,1761670383.7908645,746.605
158,1761670398.7911916,810.245
159,1761670413.7908137,790.307
160,1761670428.7911398,795.328
161,1761670443.7909195,810.708
162,1761670458.7910821,818.636
163,1761670473.790658,818.307
164,1761670488.7906585,825.25
165,1761670503.7911003,559.888
166,1761670518.7907703,189.49
167,1761670533.790569,188.334
168,1761670548.7911692,187.838
169,1761670563.7905304,188.564
170,1761670578.7912621,187.715
171,1761670593.7909293,187.604
172,1761670608.7912664,792.613
173,1761670623.7908444,800.474
174,1761670638.7906945,794.928
175,1761670653.7903686,812.56
176,1761670668.7910957,803.276
177,1761670683.7907717,785.435
178,1761670698.790486,813.582
179,1761670713.790459,816.574
180,1761670728.790817,800.097
181,1761670743.7904263,189.591
182,1761670758.7909365,188.487
183,1761670773.79094,187.851
184,1761670788.7904968,188.711
185,1761670803.7904983,187.692
186,1761670818.7904859,187.544
187,1761670833.79099,796.064
188,1761670848.790831,811.802
189,1761670863.791026,817.025
190,1761670878.7907004,811.492
191,1761670893.7905629,804.788
192,1761670908.790672,813.11
193,1761670923.791094,813.252
194,1761670938.7910793,791.14
195,1761670953.7908423,795.007
196,1761670968.7904344,189.715
197,1761670983.7906299,188.512
198,1761670998.7912178,188.095
199,1761671013.7907367,188.782
200,1761671028.790924,187.764
201,1761671043.7908437,187.608
202,1761671058.7905838,802.422
203,1761671073.79086,815.218
204,1761671088.7908556,789.831
205,1761671103.790511,794.462
206,1761671118.7903664,808.787
207,1761671133.7911067,802.953
208,1761671148.7913876,822.825
209,1761671163.7907681,791.582
210,1761671178.7907727,805.759
211,1761671193.7912831,189.741
212,1761671208.7911196,188.458
213,1761671223.79115,187.747
214,1761671238.7906134,188.772
215,1761671253.7904453,188.317
216,1761671268.7916543,187.435
217,1761671283.7907784,798.361
218,1761671298.791087,799.995
219,1761671313.7909305,802.248
220,1761671328.7911923,801.349
221,1761671343.7906046,795.218
222,1761671358.7909,794.927
223,1761671373.7909794,808.166
224,1761671388.7915988,802.014
225,1761671403.790588,805.16
226,1761671418.7903383,805.16
227,1761671433.7915883,798.577
228,1761671448.7910955,808.881
229,1761671463.7908783,806.034
230,1761671478.7911615,814.582
231,1761671493.7912264,797.653
232,1761671508.7906835,793.373
233,1761671523.7906172,807.937
234,1761671538.791326,798.818
235,1761671553.7913322,803.414
236,1761671568.79123,795.065
237,1761671583.7904606,808.057
238,1761671598.790663,808.573
239,1761671613.790748,803.926
240,1761671628.790806,804.742
241,1761671643.7910597,801.988
242,1761671658.790764,812.585
243,1761671673.7911239,193.734
244,1761671688.7913296,189.476
245,1761671703.791021,188.147
246,1761671718.7913234,611.902
247,1761671733.7907574,188.499
248,1761671748.7907422,187.795
249,1761671763.7911227,187.388
250,1761671778.79096,798.968
251,1761671793.7909389,787.336
252,1761671808.7908757,804.266
253,1761671823.790403,794.546
254,1761671838.790849,802.209
255,1761671853.7912765,794.383
256,1761671868.790584,800.422
257,1761671883.7905617,801.273
258,1761671898.7911093,806.747
259,1761671913.7909217,814.416
260,1761671928.791125,803.595
